Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4u7,C_0402_1005Metric,154.98123,-70.2,180.0,top
C10,12p,C_0402_1005Metric,165.06877,-57.493566,0.0,top
C12,1u,C_0402_1005Metric,120.0,-64.25,0.0,top
C13,4u7,C_0402_1005Metric,126.75,-81.45,-90.0,top
C15,12p,C_0402_1005Metric,118.88,-49.92,180.0,top
C16,12p,C_0402_1005Metric,118.63,-53.92,180.0,top
C2,4u7,C_0402_1005Metric,161.55,-71.956434,-90.0,top
C3,4u7,C_0402_1005Metric,158.8,-74.7,-90.0,top
C4,1u,C_0402_1005Metric,166.53,-54.45,0.0,top
C5,4u7,C_0402_1005Metric,123.75,-63.75,-90.0,top
C6,4u7,C_0402_1005Metric,124.8,-77.0,180.0,top
C7,4u7,C_0402_1005Metric,132.0,-77.2,0.0,top
C8,4u7,C_0402_1005Metric,161.31877,-47.473566,90.0,top
C9,12p,C_0402_1005Metric,165.06877,-62.243566,0.0,top
F1,750 mA,Fuse_0603_1608Metric,126.5,-37.24,0.0,top
F2,750 mA,Fuse_0603_1608Metric,149.81877,-37.493566,0.0,top
L1,BLM15PX121SN1D,L_0402_1005Metric,126.25,-35.25,180.0,top
L2,BLM15PX121SN1D,L_0402_1005Metric,149.06877,-35.243566,-90.0,top
L3,10 uH,L_0603_1608Metric,120.25,-63.0,180.0,top
L4,10 uH,L_0603_1608Metric,165.56877,-52.243566,-90.0,top
LED1,Orange,LED_0805_2012Metric,133.5,-73.0,90.0,top
LED2,Orange,LED_0805_2012Metric,149.5,-73.25,-90.0,top
R1,5k1,R_0402_1005Metric,128.75,-34.49,-90.0,top
R11,47k,R_0402_1005Metric,128.0,-81.45,-90.0,top
R12,1k5,R_0402_1005Metric,124.8,-78.4,180.0,top
R13,3k9,R_0603_1608Metric,132.5,-80.25,0.0,top
R15,10k,R_0402_1005Metric,154.5,-74.75,180.0,top
R16,47k,R_0402_1005Metric,154.98123,-71.45,180.0,top
R17,1k5,R_0402_1005Metric,156.98123,-68.206434,180.0,top
R18,3k9,R_0603_1608Metric,154.25,-73.0,180.0,top
R2,5k1,R_0402_1005Metric,133.0,-33.99,180.0,top
R3,1k5,R_0402_1005Metric,127.0,-74.5,-90.0,top
R4,1k5,R_0402_1005Metric,160.25,-68.25,0.0,top
R5,5k1,R_0402_1005Metric,157.56877,-34.993566,90.0,top
R6,5k1,R_0402_1005Metric,150.56877,-35.243566,-90.0,top
R9,10k,R_0402_1005Metric,132.0,-78.4,0.0,top
RST1,EVQ-P7C01P,SW_EVQ-P7C01P,137.25,-73.0,90.0,top
RST2,EVQ-P7C01P,SW_EVQ-P7C01P,146.5,-73.25,-90.0,top
U1,SRV05-4,SOT-23-6,130.6375,-37.19,180.0,top
U2,SRV05-4,SOT-23-6,153.56877,-35.856066,180.0,top
U3,BQ24075,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,128.35,-78.1,180.0,top
U4,BQ24075,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,158.4,-71.35,90.0,top
U5,nRF52840_E73-2G4M08S1C,nRF52840_E73-2G4M08S1C,155.94877,-55.993566,90.0,top
U9,nRF52840_E73-2G4M08S1C,nRF52840_E73-2G4M08S1C,127.765,-55.5,-90.0,top
USB1,TYPE-C 16PIN 2MD(073),USB-C-SMD_TYPE-C-6PIN-2MD-073,130.25,-29.325,180.0,top
USB2,TYPE-C 16PIN 2MD(073),USB-C-SMD_TYPE-C-6PIN-2MD-073,153.56877,-29.401066,180.0,top
Y1,32.768 KHz,Crystal_SMD_2012-2Pin_2.0x1.2mm,118.63,-51.92,90.0,top
Y2,32.768 KHz,Crystal_SMD_2012-2Pin_2.0x1.2mm,165.06877,-59.743566,-90.0,top
